Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Tangible Common Equity
Alpine Banks Of Colorado,BHC-Y9C,1061679,Glenwood Springs,CO,6/30/2025,"6,607,007","526,670"
Associated Banc-corp,BHC-Y9C,1199563,Green Bay,WI,6/30/2025,"43,993,729","3,454,422"
"First Mid Bancshares, Inc.",BHC-Y9C,1206760,Mattoon,IL,6/30/2025,"7,680,475","643,674"
Lakeland Financial Corporation,BHC-Y9C,1208906,Warsaw,IN,6/30/2025,"6,964,652","704,928"
"Civista Bancshares, Inc",BHC-Y9C,1246533,Sandusky,OH,6/30/2025,"4,185,869","274,281"
"First Community Bankshares, Inc.",BHC-Y9C,1478017,Bluefield,VA,6/30/2025,"3,181,014","346,919"
Alerus Financial Corporation,BHC-Y9C,2067007,Grand Forks,ND,6/30/2025,"5,323,822","409,059"
"Texas Capital Bancshares, Inc.",BHC-Y9C,2706735,Dallas,TX,6/30/2025,"31,943,535","3,208,272"
"Red River Bancshares, Inc.",BHC-Y9C,2743235,Alexandria,LA,6/30/2025,"3,168,092","333,804"
"Nicolet Bankshares, Inc.",BHC-Y9C,3103603,Green Bay,WI,6/30/2025,"8,930,809","804,991"
Fidelity Financial Corporation,BHC-Y9C,3223967,Wichita,KS,6/30/2025,"3,277,086","263,512"
"CBTX, Inc.",BHC-Y9C,3594872,Houston,TX,6/30/2025,"10,508,223","1,025,048"
"Nexbank Capital, Inc.",BHC-Y9C,3823844,Dallas,TX,6/30/2025,"15,646,061","773,589"
Westfield Bancorp,BHC-Y9C,3828670,Westfield Center,OH,6/30/2025,,
Lendingclub Corporation,BHC-Y9C,4738879,San Francisco,CA,6/30/2025,"10,775,333","1,264,463"
"Nbt, Inc.",BHC-Y9C,5880065,West Des Moines,IA,6/30/2025,,
Trico Bancshares,BHC-Y9C,1030170,Chico,CA,6/30/2025,"9,923,983","956,946"
First Bancorp,BHC-Y9C,1076431,Southern Pines,NC,6/30/2025,"12,610,097","1,058,767"
Synovus Financial Corp.,BHC-Y9C,1078846,Columbus,GA,6/30/2025,"61,056,785","4,569,185"
"First Financial Bankshares, Inc.",BHC-Y9C,1102312,Abilene,TX,6/30/2025,"14,376,841","1,423,528"
Cnb Financial Corporation,BHC-Y9C,1118340,Clearfield,PA,6/30/2025,"6,318,477","535,449"
Park National Corporation,BHC-Y9C,1142336,Newark,OH,6/30/2025,"9,949,578","1,131,995"
First Merchants Corporation,BHC-Y9C,1208559,Muncie,IN,6/30/2025,"18,592,777","1,594,028"
"Southside Bancshares, Inc.",BHC-Y9C,1245068,Tyler,TX,6/30/2025,"8,339,966","604,751"
Tampa Bay Banking Company,BHC-Y9C,1246467,Tampa,FL,6/30/2025,"3,006,206","247,840"
1867 Western Financial Corporation,BHC-Y9C,1399765,Stockton,CA,6/30/2025,"4,686,339","831,801"
Wilson Bank Holding Company,BHC-Y9C,2004141,Lebanon,TN,6/30/2025,"5,631,784","524,684"
"Shore Bancshares, Inc.",BHC-Y9C,2429838,Easton,MD,6/30/2025,"6,037,874","468,167"
"Hometown Community Bancorp, Inc.",BHC-Y9C,2592714,Morton,IL,6/30/2025,"5,519,286","281,213"
Mercantile Bank Corporation,BHC-Y9C,2608763,Grand Rapids,MI,6/30/2025,"6,180,987","582,046"
Amboy Bancorporation,BHC-Y9C,2611718,Old Bridge,NJ,6/30/2025,"2,739,834","314,964"
"Hometrust Bancshares, Inc.",BHC-Y9C,4366003,Asheville,NC,6/30/2025,"4,577,615","539,493"
"Metrocity Bankshares, Inc.",BHC-Y9C,4750086,Doraville,GA,6/30/2025,"3,609,916","436,099"
"Usb Bancorp, Inc.",BHC-Y9C,5301421,Danbury,CT,6/30/2025,"3,157,659","274,500"
"Amerinational Community Services, Llc",BHC-Y9C,5880113,Albert Lea,MN,6/30/2025,"273,605","66,035"
Fremont Bancorporation,BHC-Y9C,1026801,Fremont,CA,6/30/2025,"5,857,084","385,611"
"Commerce Bancshares, Inc.",BHC-Y9C,1049341,Kansas City,MO,6/30/2025,"32,334,150","3,490,248"
"Cbi-kansas, Inc.",BHC-Y9C,1056835,Kansas City,MO,6/30/2025,,
BancPlus Corporation,BHC-Y9C,1097306,Ridgeland,MS,6/30/2025,"7,847,552","497,082"
"Broadway Bancshares, Inc.",BHC-Y9C,1106879,San Antonio,TX,6/30/2025,"5,813,612","394,683"
"Amarillo National Bancorp, Inc.",BHC-Y9C,1107205,Amarillo,TX,6/30/2025,"9,831,813","1,031,655"
Univest Financial Corporation,BHC-Y9C,1116609,Souderton,PA,6/30/2025,"7,939,056","739,183"
"Citizens Financial Group, Inc.",BHC-Y9C,1132449,Providence,RI,6/30/2025,"218,914,129","14,804,639"
BancFirst Corporation,BHC-Y9C,1133286,Oklahoma City,OK,6/30/2025,"14,045,783","1,534,365"
"First Bancorp, Inc., The",BHC-Y9C,1133932,Damariscotta,ME,6/30/2025,"3,191,943","234,702"
"Midland States Bancorp, Inc.",BHC-Y9C,1491351,Effingham,IL,6/30/2025,"7,107,878","444,481"
"Home Bancshares, Inc.",BHC-Y9C,1491409,Conway,AR,6/30/2025,"22,907,022","2,650,808"
Cathay General Bancorp,BHC-Y9C,1843080,Los Angeles,CA,6/30/2025,"23,723,846","2,508,044"
"Emigrant Bancorp, Inc.",BHC-Y9C,2089036,New York,NY,6/30/2025,,
Banner Corporation,BHC-Y9C,2126977,Walla Walla,WA,6/30/2025,"16,437,169","1,489,359"
"Weststar Bank Holding Company, Inc.",BHC-Y9C,3122051,El Paso,TX,6/30/2025,"3,240,320","297,190"
New York Private Bank & Trust Corporation,BHC-Y9C,3212091,New York,NY,6/30/2025,"5,808,415","863,409"
Merchants Bancorp,BHC-Y9C,3530786,Carmel,IN,6/30/2025,"19,141,204","1,623,756"
"Live Oak Bancshares, Inc.",BHC-Y9C,3884863,Wilmington,NC,6/30/2025,"13,831,208","1,027,453"
Liberty Financial Corporation,BHC-Y9C,6005472,Middletown,CT,6/30/2025,"8,473,623","1,060,927"
"Pinnacle Bancorp, Inc.",BHC-Y9C,1053272,Omaha,NE,6/30/2025,"19,831,035","1,684,384"
American National Corporation,BHC-Y9C,1059715,Omaha,NE,6/30/2025,"5,088,441","483,238"
Fifth Third Bancorp,BHC-Y9C,1070345,Cincinnati,OH,6/30/2025,"209,991,000","14,015,000"
Peoples Bancorp Inc.,BHC-Y9C,1070578,Marietta,OH,6/30/2025,"9,540,608","756,567"
"First State Bancshares, Inc.",BHC-Y9C,1099917,Farmington,MO,6/30/2025,"4,257,750","415,504"
"Independence Bancshares, Inc.",BHC-Y9C,1118854,Owensboro,KY,6/30/2025,"3,822,423","207,485"
FB Financial Corporation,BHC-Y9C,1132104,Nashville,TN,6/30/2025,"13,354,238","1,364,094"
Independent Bank Corp.,BHC-Y9C,1136803,Rockland,MA,6/30/2025,"20,055,242","2,080,041"
First American Bank Corporation,BHC-Y9C,1199974,Elk Grove Village,IL,6/30/2025,"8,126,457","526,116"
Independent Bank Corporation,BHC-Y9C,1201925,Grand Rapids,MI,6/30/2025,"5,418,519","439,706"
Bok Financial Corporation,BHC-Y9C,1883693,Tulsa,OK,6/30/2025,"51,201,417","4,806,139"
"Glacier Bancorp, Inc.",BHC-Y9C,2003975,Kalispell,MT,6/30/2025,"29,004,983","2,345,914"
"Ameriprise Financial, Inc.",BHC-Y9C,2433312,Minneapolis,MN,6/30/2025,"184,906,655","3,443,726"
Hsbc North America Holdings Inc.,BHC-Y9C,3232316,New York,NY,6/30/2025,"242,060,343","11,869,258"
"Leader Bancorp, Inc",BHC-Y9C,3439236,Arlington,MA,6/30/2025,"5,114,159","399,768"
"Pacific Premier Bancorp, Inc.",BHC-Y9C,3489594,Irvine,CA,6/30/2025,"17,783,172","2,046,929"
"Bangor Bancorp, Mhc",BHC-Y9C,3547999,Bangor,ME,6/30/2025,"7,347,622","407,948"
"Southeast Bancorp, Inc.",BHC-Y9C,3808122,Farragut,TN,6/30/2025,,
"Education Loan Finance, Inc.",BHC-Y9C,3808131,Knoxville,TN,6/30/2025,"5,073,018","637,388"
"Silver Queen Financial Services, Inc.",BHC-Y9C,3835164,Greenwood Village,CO,6/30/2025,"2,444,401","235,810"
Middlesex Bancorp Mhc,BHC-Y9C,3932072,Natick,MA,6/30/2025,"6,102,056","724,289"
"Third Coast Bancshares, Inc.",BHC-Y9C,4475473,Humble,TX,6/30/2025,"4,943,771","411,053"
"Waterstone Financial, Inc.",BHC-Y9C,4523431,Wauwatosa,WI,6/30/2025,"2,256,415","340,791"
Vbt Financial Corporation,BHC-Y9C,5278381,San Antonio,TX,6/30/2025,"4,720,763","362,044"
"First National Of Nebraska, Inc.",BHC-Y9C,1020902,Omaha,NE,6/30/2025,"31,842,439","3,276,717"
"San Francisco Company, The",BHC-Y9C,1029286,Creve Coeur,MO,6/30/2025,,
Central Service Corporation,BHC-Y9C,1051465,Enid,OK,6/30/2025,"3,820,464","236,011"
"Farmers & Merchants Investment, Inc.",BHC-Y9C,1053580,Lincoln,NE,6/30/2025,"8,906,129","843,360"
Farmers National Banc Corp.,BHC-Y9C,1071191,Canfield,OH,6/30/2025,"5,184,192","251,017"
"Southern Bancshares (N.C.), Inc.",BHC-Y9C,1075694,Mount Olive,NC,6/30/2025,"5,288,636","605,137"
"Community Bancshares Of Mississippi, Inc.",BHC-Y9C,1080595,Flowood,MS,6/30/2025,"4,788,508","337,072"
Ameris Bancorp,BHC-Y9C,1082067,Atlanta,GA,6/30/2025,"26,683,993","2,836,664"
Simmons First National Corporation,BHC-Y9C,1094828,Pine Bluff,AR,6/30/2025,"26,693,665","2,139,077"
"Republic Bancorp, Inc.",BHC-Y9C,1097025,Louisville,KY,6/30/2025,"6,970,918","1,017,850"
"Cass Information Systems, Inc.",BHC-Y9C,1098648,Des Peres,MO,6/30/2025,"2,316,018","220,329"
"Cullen/ Frost Bankers, Inc.",BHC-Y9C,1102367,San Antonio,TX,6/30/2025,"51,458,743","3,357,268"
"Capital Bancorp, Inc.",BHC-Y9C,1106280,Jacinto City,TX,6/30/2025,,
"Austin Bancorp, Inc.",BHC-Y9C,1108350,Jacksonville,TX,6/30/2025,"3,131,422","436,196"
Fb Corporation,BHC-Y9C,1118797,Creve Coeur,MO,6/30/2025,"6,550,269","349,200"
First United Corporation,BHC-Y9C,1132672,Oakland,MD,6/30/2025,"2,007,471","179,537"
Canandaigua National Corporation,BHC-Y9C,1133503,Canandaigua,NY,6/30/2025,"5,189,941","392,478"
Chemung Financial Corporation,BHC-Y9C,1133594,Elmira,NY,6/30/2025,"2,852,554","213,142"
Minnwest Corporation,BHC-Y9C,1141348,Minnetonka,MN,6/30/2025,"2,984,214","252,066"
"First Bancshares, Inc.",BHC-Y9C,1204560,Merrillville,IN,6/30/2025,"9,846,913","887,621"
"Ida Grove Bancshares, Inc.",BHC-Y9C,1205183,Ida Grove,IA,6/30/2025,"2,420,246","188,841"
"Stock Yards Bancorp, Inc.",BHC-Y9C,1249730,Louisville,KY,6/30/2025,"9,208,986","797,641"
"Reliable Community Bancshares, Inc.",BHC-Y9C,1416439,Perryville,MO,6/30/2025,"3,107,406","282,158"
"South Plains Financial, Inc.",BHC-Y9C,2033226,Lubbock,TX,6/30/2025,"4,363,674","433,342"
Tompkins Financial Corporation,BHC-Y9C,2367921,Ithaca,NY,6/30/2025,"8,373,818","668,291"
Flushing Financial Corporation,BHC-Y9C,2393274,Uniondale,NY,6/30/2025,"8,776,524","705,254"
Ofg Bancorp,BHC-Y9C,2490575,San Juan,PR,6/30/2025,"12,231,510","1,237,893"
"Brookline Bancorp, Inc.",BHC-Y9C,2631510,Boston,MA,6/30/2025,"11,570,564","998,349"
"Cambridge Financial Group, Inc.",BHC-Y9C,2687795,Cambridge,MA,6/30/2025,"6,920,055","564,631"
Metropolitan Bank Holding Corp.,BHC-Y9C,2820211,New York,NY,6/30/2025,"7,853,849","713,236"
"Southern First Bancshares, Inc.",BHC-Y9C,2849799,Greenville,SC,6/30/2025,"4,310,211","345,462"
Cbc Bancorp,BHC-Y9C,2925406,Irvine,CA,6/30/2025,"3,698,813","226,576"
"Bcb Bancorp, Inc.",BHC-Y9C,3170539,Bayonne,NJ,6/30/2025,"3,380,461","285,239"
Banterra Corp,BHC-Y9C,3202832,Eldorado,IL,6/30/2025,"3,218,327","149,592"
Regions Financial Corporation,BHC-Y9C,3242838,Birmingham,AL,6/30/2025,"159,244,000","11,410,000"
"Bankwell Financial Group, Inc.",BHC-Y9C,3553815,New Canaan,CT,6/30/2025,"3,236,593","280,121"
"First Federal Bancorp, Inc.",BHC-Y9C,3839201,Lake City,FL,6/30/2025,"4,196,139","345,370"
"Homestreet, Inc.",BHC-Y9C,3843507,Seattle,WA,6/30/2025,"7,609,323","396,797"
"First Federal Bancorp, Mhc",BHC-Y9C,3846405,Lake City,FL,6/30/2025,,
"Home Bancorp, Inc.",BHC-Y9C,3851191,Lafayette,LA,6/30/2025,"3,491,455","324,336"
"Harborone Bancorp, Inc.",BHC-Y9C,4973353,Brockton,MA,6/30/2025,"5,611,851","520,727"
"Csbh, Llc",BHC-Y9C,5478903,Powhatan,VA,6/30/2025,"220,317","27,576"
Amalgamated Financial Corp,BHC-Y9C,5559343,New York,NY,6/30/2025,"8,625,105","739,848"
Comerica Holdings Incorporated,BHC-Y9C,1029259,Dallas,TX,6/30/2025,,
"Financial Institutions, Inc.",BHC-Y9C,1032464,Warsaw,NY,6/30/2025,"6,143,766","523,837"
M&T Bank Corporation,BHC-Y9C,1037003,Buffalo,NY,6/30/2025,"211,584,112","17,582,803"
J.P. Morgan Chase & Co.,BHC-Y9C,1039502,New York,NY,6/30/2025,"4,552,482,000","281,410,000"
Valley National Bancorp,BHC-Y9C,1048773,New York,NY,6/30/2025,"62,705,358","5,258,201"
UMB Financial Corporation,BHC-Y9C,1049828,Kansas City,MO,6/30/2025,"71,760,153","4,536,386"
"Valley View Bancshares, Inc.",BHC-Y9C,1050712,Overland Park,KS,6/30/2025,"3,619,693","332,528"
Intrust Financial Corporation,BHC-Y9C,1064278,Wichita,KS,6/30/2025,"6,803,594","321,493"
Lauritzen Corporation,BHC-Y9C,1066209,Omaha,NE,6/30/2025,"1,970,725","1,726,500"
Keycorp,BHC-Y9C,1068025,Cleveland,OH,6/30/2025,"185,511,602","14,267,803"
Huntington Bancshares Incorporated,BHC-Y9C,1068191,Columbus,OH,6/30/2025,"207,742,608","13,286,841"
"PNC Financial Services Group, Inc., The",BHC-Y9C,1069778,Pittsburgh,PA,6/30/2025,"559,113,333","40,716,585"
"Community Trust Bancorp, Inc.",BHC-Y9C,1070644,Pikeville,KY,6/30/2025,"6,390,938","741,379"
Bank Of America Corporation,BHC-Y9C,1073757,Charlotte,NC,6/30/2025,"3,441,142,000","205,203,000"
Truist Financial Corporation,BHC-Y9C,1074156,Charlotte,NC,6/30/2025,"543,833,000","40,386,000"
"Chesapeake Financial Shares, Inc.",BHC-Y9C,1075881,Kilmarnock,VA,6/30/2025,"1,634,659","109,657"
"United Bankshares, Inc.",BHC-Y9C,1076217,Charleston,WV,6/30/2025,"32,783,363","3,308,683"
"Colony Bankcorp, Inc.",BHC-Y9C,1085170,Fitzgerald,GA,6/30/2025,"3,115,617","235,716"
Hancock Whitney Corporation,BHC-Y9C,1086533,Gulfport,MS,6/30/2025,"35,231,785","3,367,629"
First Horizon Corporation,BHC-Y9C,1094640,Memphis,TN,6/30/2025,"82,085,545","6,901,945"
"German American Bancorp, Inc.",BHC-Y9C,1098620,Jasper,IN,6/30/2025,"8,280,142","652,345"
Renasant Corporation,BHC-Y9C,1098844,Tupelo,MS,6/30/2025,"26,624,975","2,195,321"
Unity Capital Corporation,BHC-Y9C,1100028,Holly Springs,MS,6/30/2025,"300,916","22,271"
"First Community Bancshares, Inc.",BHC-Y9C,1108097,Killeen,TX,6/30/2025,"4,323,018","273,469"
State Street Corporation,BHC-Y9C,1111435,Boston,MA,6/30/2025,"376,717,000","14,815,000"
"Washington Trust Bancorp, Inc.",BHC-Y9C,1115349,Westerly,RI,6/30/2025,"6,748,089","461,132"
Bar Harbor Bankshares,BHC-Y9C,1115385,Bar Harbor,ME,6/30/2025,"4,112,003","345,911"
Acnb Corporation,BHC-Y9C,1117464,Gettysburg,PA,6/30/2025,"3,259,528","306,008"
U.S. Bancorp,BHC-Y9C,1119794,Minneapolis,MN,6/30/2025,"686,370,000","40,013,000"
"First Interstate Bancsystem, Inc.",BHC-Y9C,1123670,Billings,MT,6/30/2025,"27,566,430","2,232,880"
"Smartfinancial, Inc.",BHC-Y9C,1131497,Knoxville,TN,6/30/2025,"5,490,863","415,426"
Southstate Corporation,BHC-Y9C,1133437,Winter Haven,FL,6/30/2025,"65,893,322","5,273,617"
"ChoiceOne Financial Services, Inc.",BHC-Y9C,1139297,Sparta,MI,6/30/2025,"4,310,252","271,610"
Northern Trust Corporation,BHC-Y9C,1199611,Chicago,IL,6/30/2025,"171,883,619","11,205,834"
Comerica Incorporated,BHC-Y9C,1199844,Dallas,TX,6/30/2025,"78,190,000","6,220,000"
Btc Financial Corporation,BHC-Y9C,1201671,Des Moines,IA,6/30/2025,"7,545,823","646,884"
First Busey Corporation,BHC-Y9C,1203602,Leawood,KS,6/30/2025,"18,918,740","1,706,696"
"Byline Bancorp, Inc.",BHC-Y9C,1204627,Chicago,IL,6/30/2025,"9,720,218","979,364"
Hills Bancorporation,BHC-Y9C,1245291,Hills,IA,6/30/2025,"4,605,010","559,615"
"Bessemer Group, Incorporated, The",BHC-Y9C,1246159,Woodbridge,NJ,6/30/2025,"6,130,554","601,693"
"Fidelity Bancshares (n.C.), Inc.",BHC-Y9C,1249002,Fuquay-Varina,NC,6/30/2025,"4,451,522","541,024"
"United Community Banks, Inc.",BHC-Y9C,1249347,Greenville,SC,6/30/2025,"28,096,381","2,545,468"
"Blue Ridge Bankshares, Inc.",BHC-Y9C,1426960,Richmond,VA,6/30/2025,"2,555,439","341,035"
Eastern Bankshares Inc,BHC-Y9C,1427239,Boston,MA,6/30/2025,"25,462,412","2,649,348"
Ctbc Capital Corp.,BHC-Y9C,1486517,Los Angeles,CA,6/30/2025,"5,341,684","752,603"
Cbx Corporation,BHC-Y9C,1860863,Carrollton,IL,6/30/2025,"3,687,357","239,664"
"Origin Bancorp, Inc.",BHC-Y9C,1885307,Ruston,LA,6/30/2025,"9,678,158","1,040,646"
"A.N.B. Holding Company, Ltd.",BHC-Y9C,1895007,Terrell,TX,6/30/2025,,
"Mid Penn Bancorp, Inc.",BHC-Y9C,1944204,Harrisburg,PA,6/30/2025,"6,354,543","623,767"
"Villages Bancorporation, Inc.",BHC-Y9C,2012315,The Villages,FL,6/30/2025,"4,093,971","464,373"
"QCR Holdings, Inc.",BHC-Y9C,2125813,Moline,IL,6/30/2025,"9,242,331","902,221"
Heritage Financial Corporation,BHC-Y9C,2166124,Olympia,WA,6/30/2025,"7,070,641","644,725"
Capital One Financial Corporation,BHC-Y9C,2277860,Mclean,VA,6/30/2025,"658,968,289","59,057,603"
"Anb Corporation, The",BHC-Y9C,2326629,Terrell,TX,6/30/2025,"5,510,404","153,401"
"Goldman Sachs Group, Inc., The",BHC-Y9C,2380443,New York,NY,6/30/2025,"1,785,009,000","102,103,000"
Oceanfirst Financial Corp.,BHC-Y9C,2609975,Toms River,NJ,6/30/2025,"13,335,244","1,108,704"
Peapack-gladstone Financial Corporation,BHC-Y9C,2651590,Bedminster,NJ,6/30/2025,"7,200,673","583,950"
"Eagle Bancorp, Inc.",BHC-Y9C,2652104,Bethesda,MD,6/30/2025,"10,601,342","1,185,058"
Farmers & Merchants Bancorp,BHC-Y9C,2781910,Lodi,CA,6/30/2025,"5,479,960","605,923"
F.N.B. Corporation,BHC-Y9C,3005332,Pittsburgh,PA,6/30/2025,"49,784,821","3,998,540"
"Northfield Bancorp, Inc.",BHC-Y9C,3132863,Woodbridge,NJ,6/30/2025,"5,679,291","669,217"
"Equity Bancshares, Inc.",BHC-Y9C,3180547,Wichita,KS,6/30/2025,"5,376,901","563,776"
Triumph Financial Inc.,BHC-Y9C,3233126,Dallas,TX,6/30/2025,"6,494,748","458,217"
"Bridgewater Bancshares, Inc.",BHC-Y9C,3378764,Saint Louis Park,MN,6/30/2025,"5,296,673","390,396"
First Internet Bancorp,BHC-Y9C,3393178,Fishers,IN,6/30/2025,"6,072,574","372,881"
"Bank Of New York Mellon Corporation, The",BHC-Y9C,3587146,New York,NY,6/30/2025,"485,790,000","18,947,000"
"First Guaranty Bancshares, Inc.",BHC-Y9C,3589560,Hammond,LA,6/30/2025,"3,969,581","214,416"
"Big Poppy Holdings, Inc.",BHC-Y9C,3602245,Santa Rosa,CA,6/30/2025,"7,030,115","376,528"
"Raymond James Financial, Inc.",BHC-Y9C,3815157,Saint Petersburg,FL,6/30/2025,"84,813,130","10,318,369"
"Third Federal Savings And Loan Association Of Cleveland, Mhc",BHC-Y9C,3828036,Cleveland,OH,6/30/2025,"17,375,609","1,506,200"
Tfs Financial Corporation,BHC-Y9C,3828045,Cleveland,OH,6/30/2025,,
John Deere Capital Corporation,BHC-Y9C,3843075,Middleton,WI,6/30/2025,"61,036,970","5,797,746"
"Capitol Federal Financial, Inc.",BHC-Y9C,4226910,Topeka,KS,6/30/2025,"9,704,693","1,036,499"
"Gjf Financial Management Ii, Llc",BHC-Y9C,4529367,University Park,TX,6/30/2025,,
"Ford Management Ii, L.P.",BHC-Y9C,4529385,University Park,TX,6/30/2025,,
"Ford Ultimate Management Ii, Llc",BHC-Y9C,4529394,University Park,TX,6/30/2025,,
"Ford Family Investment, Lp",BHC-Y9C,4529406,University Park,TX,6/30/2025,,
"Ford Financial Fund Ii, L.P.",BHC-Y9C,4529415,University Park,TX,6/30/2025,,
2011 Tcrt,BHC-Y9C,4759650,University Park,TX,6/30/2025,,
"Eb Acquisition Company, Llc",BHC-Y9C,4759669,University Park,TX,6/30/2025,"16,575,049","48,046"
"Ford Financial Fund Iii, L.P.",BHC-Y9C,5375431,University Park,TX,6/30/2025,,
"Ford Management Iii, L.P.",BHC-Y9C,5375440,University Park,TX,6/30/2025,,
Eb Acquisition Company Ii Llc,BHC-Y9C,5375459,University Park,TX,6/30/2025,"16,575,049","219,766"
"Adam Corporation/group, The",BHC-Y9C,5902912,College Station,TX,6/30/2025,"3,683,791","1,210,218"
Central Pacific Financial Corp.,BHC-Y9C,1022764,Honolulu,HI,6/30/2025,"7,369,567","568,873"
Bank Of Hawaii Corporation,BHC-Y9C,1025309,Honolulu,HI,6/30/2025,"23,709,752","1,375,489"
Westamerica Bancorporation,BHC-Y9C,1025541,San Rafael,CA,6/30/2025,"5,834,144","800,091"
"First Hawaiian, Inc.",BHC-Y9C,1025608,Honolulu,HI,6/30/2025,"23,837,147","1,699,053"
"Charles Schwab Corporation, The",BHC-Y9C,1026632,Westlake,TX,6/30/2025,"458,936,000","23,250,000"
Cvb Financial Corp.,BHC-Y9C,1029222,Ontario,CA,6/30/2025,"15,414,130","1,466,843"
W.T.B. Financial Corporation,BHC-Y9C,1029464,Spokane,WA,6/30/2025,"10,684,981","958,404"
Trustco Bank Corp Ny,BHC-Y9C,1048513,Glenville,NY,6/30/2025,"6,348,375","692,252"
Arrow Financial Corporation,BHC-Y9C,1048812,Glens Falls,NY,6/30/2025,"4,414,719","383,230"
"Community Financial System, Inc.",BHC-Y9C,1048867,Dewitt,NY,6/30/2025,"16,665,018","984,710"
"Spend Life Wisely Company, Inc.",BHC-Y9C,1058398,Durant,OK,6/30/2025,"16,455,547","1,103,130"
FirstSun Capital Bancorp,BHC-Y9C,1066713,Denver,CO,6/30/2025,"8,435,861","995,638"
