Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,Ticker,Common Shares Outstanding,Tangible Common Equity (TBV)
"Hbt Financial, Inc.",BHC-Y9C,1208120,Bloomington,IL,6/30/2025,"5,018,398",HBT,"31,495,434",
"West Bancorporation, Inc.",BHC-Y9C,1210066,West Des Moines,IA,6/30/2025,"4,056,669",WTBA,"16,940,785",
"Guaranty Bancshares, Inc.",BHC-Y9C,1862036,Mount Pleasant,TX,6/30/2025,"3,144,155",GNTY,"11,345,511",
"Peoples Bancorp Of North Carolina, Inc.",BHC-Y9C,2818245,Newton,NC,6/30/2025,"1,693,845",PEBK,"5,459,441",
"Mountain Commerce Bancorp, Inc.",BHC-SP,3416965,Knoxville,TN,6/30/2025,"1,806,072",MCBI,"6,365,711",
Lifestore Financial Group Inc,BHC-SP,3833843,West Jefferson,NC,6/30/2025,"478,876",LSFG,"1,062,198",
"First Greenwich Financial, Inc.",BHC-SP,4894588,Cos Cob,CT,6/30/2025,"798,831",FGFI,"2,653,854",
"Mbt Bancshares, Inc.",BHC-SP,5164541,Metairie,LA,6/30/2025,"625,823",MBKL,"2,043,543",
"Diamond Bancshares, Inc.",BHC-SP,1129896,Antwerp,OH,6/30/2025,"154,186",DMNB,"143,358",
"Foresight Financial Group, Inc.",BHC-Y9C,1137453,Winnebago,IL,6/30/2025,"1,611,014",FGFH,"3,606,087",
Fs Bancorp,BHC-SP,1245479,Lagrange,IN,6/30/2025,"1,299,287",FXLG,"4,118,460",
Ffd Financial Corporation,BHC-SP,2506805,Dover,OH,6/30/2025,"849,001",FFDF,"2,932,730",
River Valley Community Bancorp,BHC-SP,5116353,Yuba City,CA,6/30/2025,"608,935",RVCB,"3,126,189",
"Pfs Bancorp, Inc.",BHC-SP,5837489,Peru,IL,6/30/2025,"207,906",PFSB,"1,617,032",
Peoples Bancorp,BHC-SP,1030947,Bellingham,WA,6/30/2025,"2,414,440",PPBB,"1,162,000",
"Farmers & Merchants Bancorp, Inc.",BHC-Y9C,1134630,Archbold,OH,6/30/2025,"3,345,763",FMAO,"13,725,898",
"Tri-County Financial Group, Inc.",BHC-SP,1139345,Mendota,IL,6/30/2025,"1,562,943",TYFG,"2,389,343",
Peoples Ltd.,BHC-SP,1143959,Wyalusing,PA,6/30/2025,"616,221",PPLL,"1,725,837",
"Jtnb Bancorp, Inc.",BHC-SP,1406935,Jim Thorpe,PA,6/30/2025,"246,187",JTNB,"944,363",
"First Berlin Bancorp, Inc.",BHC-SP,1889538,Berlin,WI,6/30/2025,"672,967",FTFI,"2,767,005",
"Great Southern Bancorp, Inc.",BHC-Y9C,2339133,Springfield,MO,6/30/2025,"5,858,635",GSBC,"11,396,533",
"Peoples Bancorp, Inc.",BHC-SP,2531049,Chestertown,MD,6/30/2025,"296,134",PEBC,"728,918",
Oconee Financial Corporation,BHC-SP,2729499,Watkinsville,GA,6/30/2025,"670,289",OSBK,"1,046,375",
"Pinnacle Financial Partners, Inc.",BHC-Y9C,2925657,Nashville,TN,6/30/2025,"54,801,451",PNFP,"77,500,000",
Third Century Bancorp,BHC-SP,3252659,Franklin,IN,6/30/2025,"318,964",TDCB,"1,168,442",
"First Savings Financial Group, Inc.",BHC-SP,3908929,Jeffersonville,IN,6/30/2025,"2,416,675",FSFG,"6,976,558",
"Oakworth Capital, Inc.",BHC-SP,4503910,Birmingham,AL,6/30/2025,"1,851,589",OAKC,"4,990,371",
Community Bancorp Of Santa Maria,BHC-SP,5113857,Santa Maria,CA,6/30/2025,"417,805",CYSM,"2,169,796",
Jbt Bancorp Inc,BHC-SP,5557983,Jonestown,PA,6/30/2025,"975,044",JBTC,"2,433,696",
"Nsts Bancorp, Inc.",BHC-SP,5654323,Waukegan,IL,6/30/2025,"275,976",NSTS,"5,239,038",
Pacific West Bancorp,BHC-SP,5784930,West Linn,OR,6/30/2025,"361,550",PWBK,"2,696,001",
"Croghan Bancshares, Inc.",BHC-SP,1071726,Fremont,OH,6/30/2025,"1,179,345",CHBH,"2,048,838",
Cnb Corporation,BHC-SP,1134108,Conway,SC,6/30/2025,"1,904,985",CNBW,"1,571,559",
"Neffs Bancorp, Inc.",BHC-SP,1140097,Neffs,PA,6/30/2025,"467,385",NEFB,"145,442",
"Midwestone Financial Group, Inc.",BHC-Y9C,1245228,Iowa City,IA,6/30/2025,"6,160,773",MOFG,"20,769,577",
Wvs Financial Corp.,BHC-SP,2140115,Pittsburgh,PA,6/30/2025,"355,486",WVFC,"1,894,006",
Mauch Chunk Trust Financial Corp.,BHC-SP,3045011,Jim Thorpe,PA,6/30/2025,"667,332",MCHT,"3,344,403",
"Washington Federal, Inc.",BHC-Y9C,3065617,Seattle,WA,6/30/2025,"26,731,915",WAFD,"79,130,276",
"Business First Bancshares, Inc.",BHC-Y9C,3488850,Baton Rouge,LA,6/30/2025,"7,955,831",BFST,"29,602,970",
Plains Acquisition Corporation,BHC-SP,3720082,Humble,TX,6/30/2025,"853,518",PLQC,"2,566,975",
"First Capital Bancshares, Inc.",BHC-SP,3836385,Charleston,SC,6/30/2025,"1,055,940",FCPB,"9,507,527",
"John Marshall Bancorp, Inc.",BHC-SP,5039724,Reston,VA,6/30/2025,"2,267,953",JMSB,"14,231,389",
"Community Heritage Financial, Inc.",BHC-SP,5292707,Middletown,MD,6/30/2025,"1,095,609",CMHF,"2,928,888",
"Eureka Homestead Bancorp, Inc.",BHC-SP,5371705,Metairie,LA,6/30/2025,"95,412",ERKH,"1,026,127",
"Commencement Bancorp, Inc.",BHC-SP,5458745,Tacoma,WA,6/30/2025,"681,657",CBWA,"3,749,004",
"Liberty Northwest Bancorp, Inc.",BHC-SP,5515488,Poulsbo,WA,6/30/2025,"193,248",LBNW,"1,674,259",
"Ewsb Bancorp, Inc.",BHC-SP,5930559,Kaukauna,WI,6/30/2025,"285,043",EWSB,"752,538",
Alpine Banks Of Colorado,BHC-Y9C,1061679,Glenwood Springs,CO,6/30/2025,"6,607,007",ALPIB,"16,023,218",
"Empire Bancshares, Inc.",BHC-SP,1071333,Hicksville,OH,6/30/2025,"211,931",EBSH,"660,814",
Citizens National Corporation,BHC-SP,1071623,Paintsville,KY,6/30/2025,"690,002",CZNL,"977,216",
Citizens Holding Company,BHC-SP,1083475,Philadelphia,MS,6/30/2025,"1,640,424",CIZN,"5,653,753",
Community Bancorp,BHC-SP,1115040,Derby,VT,6/30/2025,"1,166,586",CMTV,"5,848,828",
"Highlands Bankshares, Inc.",BHC-SP,1131750,Petersburg,WV,6/30/2025,"608,645",HBSI,"1,326,122",
Fcn Banc Corp.,BHC-SP,1134069,Brookville,IN,6/30/2025,"777,297",FBVI,"1,713,447",
Solvay Bank Corp.,BHC-SP,1143342,Solvay,NY,6/30/2025,"1,181,141",SOBS,"2,535,202",
Associated Banc-corp,BHC-Y9C,1199563,Green Bay,WI,6/30/2025,"43,993,729",ASB,"165,778,000",
Ames National Corporation,BHC-SP,1202258,Ames,IA,6/30/2025,"2,092,844",ATLO,"8,898,689",
"First Mid Bancshares, Inc.",BHC-Y9C,1206760,Mattoon,IL,6/30/2025,"7,680,475",FMBH,"23,988,845",
"Southern Michigan Bancorp, Inc.",BHC-SP,1207824,Coldwater,MI,6/30/2025,"1,571,263",SOMC,"4,627,809",
Lakeland Financial Corporation,BHC-Y9C,1208906,Warsaw,IN,6/30/2025,"6,964,652",LKFN,"25,525,105",
"Baraboo Bancorporation, Inc., The",BHC-SP,1209248,Baraboo,WI,6/30/2025,"539,065",BAOB,"8,939,239",
"Lyons Bancorp, Inc.",BHC-SP,1246476,Lyons,NY,6/30/2025,"2,045,425",LYBC,"3,515,464",
"Civista Bancshares, Inc",BHC-Y9C,1246533,Sandusky,OH,6/30/2025,"4,185,869",CIVB,"15,529,342",
Commercial National Financial Corporation,BHC-SP,1249299,Ithaca,MI,6/30/2025,"552,094",CEFC,"3,965,303",
"First Community Bankshares, Inc.",BHC-Y9C,1478017,Bluefield,VA,6/30/2025,"3,181,014",FCBC,"18,311,232",
"Pioneer Bankcorp, Inc.",BHC-SP,2061162,Clewiston,FL,6/30/2025,"799,663",PBKC,"1,129,806",
Alerus Financial Corporation,BHC-Y9C,2067007,Grand Forks,ND,6/30/2025,"5,323,822",ALRS,"25,388,848",
First Community Corporation,BHC-SP,2224239,Rogersville,TN,6/30/2025,"215,035",FCCT,"1,622,662",
"Chester Bancorp, Inc.",BHC-SP,2434104,Chester,IL,6/30/2025,"106,278",CNBA,"654,684",
"Southern Banc Company, Inc., The",BHC-SP,2496193,Gadsden,AL,6/30/2025,"125,404",SRNN,"806,086",
Pinnacle Bankshares Corporation,BHC-SP,2534406,Altavista,VA,6/30/2025,"1,040,560",PPBN,"2,225,727",
First Robinson Financial Corporation,BHC-SP,2558194,Robinson,IL,6/30/2025,"470,523",FRFC,"526,264",
Pacific Financial Corporation,BHC-SP,2560236,Aberdeen,WA,6/30/2025,"1,215,468",PFLC,"10,020,000",
"Texas Capital Bancshares, Inc.",BHC-Y9C,2706735,Dallas,TX,6/30/2025,"31,943,535",TCBI,"45,746,836",
"Red River Bancshares, Inc.",BHC-Y9C,2743235,Alexandria,LA,6/30/2025,"3,168,092",RRBI,"6,676,609",
Minster Financial Corp.,BHC-SP,2795702,Minster,OH,6/30/2025,"773,534",MTFC,"1,074,000",
American Bank Incorporated,BHC-SP,3008753,Allentown,PA,6/30/2025,"1,017,468",AMBK,"6,318,000",
BankFinancial Corporation,BHC-SP,3035928,Burr Ridge,IL,6/30/2025,"1,429,177",BFIN,"12,460,678",
"Sturgis Bancorp, Inc.",BHC-SP,3051571,Sturgis,MI,6/30/2025,"985,003",STBI,"2,163,691",
"Nicolet Bankshares, Inc.",BHC-Y9C,3103603,Green Bay,WI,6/30/2025,"8,930,809",NIC,"14,924,086",
White River Bancshares Company,BHC-SP,3306589,Fayetteville,AR,6/30/2025,"1,433,967",WRIV,"2,448,246",
"Magyar Bancorp, Inc.",BHC-SP,3382846,New Brunswick,NJ,6/30/2025,"987,488",MGYR,"6,450,948",
"CBTX, Inc.",BHC-Y9C,3594872,Houston,TX,6/30/2025,"10,508,223",STEL,"51,398,000",
Pcb Bancorp,BHC-SP,3595084,Los Angeles,CA,6/30/2025,"3,305,589",PCB,"14,336,602",
Coeur d'Alene Bancorp,BHC-SP,3780938,Coeur Dalene,ID,6/30/2025,"227,048",CDAB,"1,899,254",
"Redwood Financial, Inc.",BHC-SP,3800797,Redwood Falls,MN,6/30/2025,"634,947",REDW,"405,567",
Malaga Financial Corporation,BHC-SP,3842528,Palos Verdes Estates,CA,6/30/2025,"1,397,182",MLGF,"9,423,976",
U & I Financial Corp.,BHC-SP,4125086,Lynnwood,WA,6/30/2025,"409,584",UNIF,"5,477,000",
"Madison County Financial, Inc.",BHC-SP,4441414,Madison,NE,6/30/2025,"609,015",MCBK,"2,685,244",
Lendingclub Corporation,BHC-Y9C,4738879,San Francisco,CA,6/30/2025,"10,775,333",LC,"114,740,147",
"Skyline Bankshares, Inc.",BHC-SP,4949303,Floyd,VA,6/30/2025,"1,282,848",SLBK,"5,651,704",
Nmb Financial Corporation,BHC-SP,5011832,Fort Lee,NJ,6/30/2025,"938,917",NMBF,"5,217,054",
"Cbb Bancorp, Inc.",BHC-SP,5124938,Los Angeles,CA,6/30/2025,"1,814,826",CBBI,"10,588,136",
Fsbh Corporation,BHC-SP,5685653,Bradenton,FL,6/30/2025,"330,927",FSBH,"3,008,071",
Infinity Bancorp,BHC-SP,5782299,Santa Ana,CA,6/30/2025,"337,074",INFT,"3,131,015",
"First Commerce Bancorp, Inc",BHC-SP,5809066,Lakewood,NJ,6/30/2025,"1,689,642",CMRB,"20,096,480",
Trico Bancshares,BHC-Y9C,1030170,Chico,CA,6/30/2025,"9,923,983",TCBK,"32,550,264",
First Bancorp,BHC-Y9C,1076431,Southern Pines,NC,6/30/2025,"12,610,097",FBNC,"41,468,098",
Synovus Financial Corp.,BHC-Y9C,1078846,Columbus,GA,6/30/2025,"61,056,785",SNV,"138,781,530",
Svb&t Corporation,BHC-SP,1098385,French Lick,IN,6/30/2025,"645,217",SVBT,"1,101,458",
"First Financial Bankshares, Inc.",BHC-Y9C,1102312,Abilene,TX,6/30/2025,"14,376,841",FFIN,"143,077,619",
Cnb Financial Corporation,BHC-Y9C,1118340,Clearfield,PA,6/30/2025,"6,318,477",CCNE,"21,119,894",
Park National Corporation,BHC-Y9C,1142336,Newark,OH,6/30/2025,"9,949,578",PRK,"16,071,347",
First Merchants Corporation,BHC-Y9C,1208559,Muncie,IN,6/30/2025,"18,592,777",FRME,"57,272,433",
"Southside Bancshares, Inc.",BHC-Y9C,1245068,Tyler,TX,6/30/2025,"8,339,966",SBSI,"30,082,000",
Union Financial Corporation,BHC-SP,1250204,Grand Rapids,MI,6/30/2025,"379,363",UFCP,"3,293,231",
1867 Western Financial Corporation,BHC-Y9C,1399765,Stockton,CA,6/30/2025,"4,686,339",WFCL,"86,929",
Commercial National Financial Corporation,BHC-SP,1823738,Latrobe,PA,6/30/2025,"367,181",CNAF,"2,860,953",
Wilson Bank Holding Company,BHC-Y9C,2004141,Lebanon,TN,6/30/2025,"5,631,784",WBHC,"12,000,379",
"Hocking Valley Bancshares, Inc.",BHC-SP,2170868,Athens,OH,6/30/2025,"347,239",HCKG,"1,243,290",
"Shore Bancshares, Inc.",BHC-Y9C,2429838,Easton,MD,6/30/2025,"6,037,874",SHBI,"33,374,265",
Mercantile Bank Corporation,BHC-Y9C,2608763,Grand Rapids,MI,6/30/2025,"6,180,987",MBWM,"16,248,694",
"Elmer Bancorp, Inc.",BHC-SP,2947985,Elmer,NJ,6/30/2025,"404,581",ELMA,"1,144,709",
"New Peoples Bankshares, Inc.",BHC-SP,3049617,Honaker,VA,6/30/2025,"892,931",NWPP,"23,600,878",
Mission Bancorp,BHC-SP,3108082,Bakersfield,CA,6/30/2025,"1,858,741",MSBC,"2,780,875",
"CNB Community Bancorp, Inc.",BHC-SP,3340015,Hillsdale,MI,6/30/2025,"1,275,564",CNBB,"2,094,557",
"Chain Bridge Bancorp, Inc.",BHC-SP,3597220,Mc Lean,VA,6/30/2025,"1,445,127",CBNA,"6,561,817",
Logansport Financial Corp.,BHC-SP,3848397,Logansport,IN,6/30/2025,"260,270",LOGN,"612,953",
"Victory Bancorp, Inc, The",BHC-SP,3939286,Limerick,PA,6/30/2025,"477,089",VTYB,"1,990,671",
"IF Bancorp, Inc.",BHC-SP,4299316,Watseka,IL,6/30/2025,"887,659",IROQ,"3,351,526",
"Hometrust Bancshares, Inc.",BHC-Y9C,4366003,Asheville,NC,6/30/2025,"4,577,615",HTBI,"17,492,143",
"Metrocity Bankshares, Inc.",BHC-Y9C,4750086,Doraville,GA,6/30/2025,"3,609,916",MCBS,"25,537,746",
"Huron Valley Bancorp, Inc.",BHC-SP,4859596,Milford,MI,6/30/2025,"253,400",HVLM,"877,588",
"Savi Financial Corporation, Inc.",BHC-SP,5163898,Mount Vernon,WA,6/30/2025,"640,649",SVVB,"3,476,207",
"TEB Bancorp, Inc.",BHC-SP,5301551,Wauwatosa,WI,6/30/2025,"321,693",TBBA,"2,624,343",
"First Seacoast Bancorp, Inc.",BHC-SP,5371479,Dover,NH,6/30/2025,"604,840",FSEA,"4,706,813",
"Commerce Bancshares, Inc.",BHC-Y9C,1049341,Kansas City,MO,6/30/2025,"32,334,150",CBSH,"133,419,701",
First Bancshares Inc.,BHC-SP,1071258,Bellevue,OH,6/30/2025,"306,025",FIBH,"544,219",
Univest Financial Corporation,BHC-Y9C,1116609,Souderton,PA,6/30/2025,"7,939,056",UVSP,"28,810,805",
"CCFNB Bancorp, Inc.",BHC-SP,1118283,Bloomsburg,PA,6/30/2025,"1,616,215",CCFN,"3,534,998",
"Citizens Financial Group, Inc.",BHC-Y9C,1132449,Providence,RI,6/30/2025,"218,914,129",CFG,"432,768,811",
BancFirst Corporation,BHC-Y9C,1133286,Oklahoma City,OK,6/30/2025,"14,045,783",BANF,"33,272,131",
"First Bancorp, Inc., The",BHC-Y9C,1133932,Damariscotta,ME,6/30/2025,"3,191,943",FNLC,"11,205,861",
Middlebury National Corporation,BHC-SP,1136214,Middlebury,VT,6/30/2025,"554,012",MDVT,"860,884",
"Midland States Bancorp, Inc.",BHC-Y9C,1491351,Effingham,IL,6/30/2025,"7,107,878",MSBI,"21,515,138",
"Home Bancshares, Inc.",BHC-Y9C,1491409,Conway,AR,6/30/2025,"22,907,022",HOMB,"197,239,000",
"1st Summit Bancorp Of Johnstown, Inc.",BHC-SP,1830240,Johnstown,PA,6/30/2025,"1,444,142",FSMK,"2,117,035",
Cathay General Bancorp,BHC-Y9C,1843080,Los Angeles,CA,6/30/2025,"23,723,846",CATY,"69,343,395",
Banner Corporation,BHC-Y9C,2126977,Walla Walla,WA,6/30/2025,"16,437,169",BANR,"34,583,994",
